Cluster,Facility Id,Name,Our total inv left,Competitor total Inv left,Time period
Kent St.,61068,191 Kent St. - Spot #1,,125,10 am to 10 pm
Kent St.,51696,191 Kent St. - Spots #64 or #65,,125,
Kent St.,45924,197 Kent St. - Spot #30 Only,,125,
Kent St.,45925,205 Kent St - Spot #64,,125,
Kent St.,108986,41 Brook St. - Whole Tandem Row,,3,
Kent St.,34702,9 Francis St - Full Size SUV,,125,
Kent St.,24447,9 Francis St. - Parallel Spots 2 or 3,,125,
Kent St.,122615,179 Kent St. - Spot #46 Only,,125,
Kent St.,51895,"169 Kent St. - Spots #32, #33 or #36 Only",,125,
Harris St.,85662,12 Harris St. - Lot,,1110,
Harris St.,44931,"4 Harvard Pl - Parallel Parking - Spots #1, 2, or 3 Only",,1054,
Harris St.,97204,122 Park St. - Spot #1 or #3 Only,,,
Harris St.,97668,"11 Stearns Rd. - Spots #3, 7, 9, 10 or #11 Only",,,
Gainsborough,44603,14 Public Alley 810 (Left Side Only) - 14 Symphony Rd - Parking Spot - Alley Entrance,,,
Gainsborough,74103,17 Symphony Rd - Spot #2,,125,
Gainsborough,24506,"23 Symphony Rd. - Spots 1, 2, or 3 - Alley Entrance",,125,
Gainsborough,115122,26 Public Alley 810 (26 Symphony Rd.) - Left or Right Spot Only,,,
Gainsborough,44635,28 Public Alley 810 - (28 Symphony Rd) - middle spot,,125,
Gainsborough,90112,28 Public Alley 810 (28 Symphony Rd.) - Spot #3 Only,,,
Gainsborough,115584,45-47 Symphony Rd. (60 Public Alley 818) - Spot #9 Only,,,
Gainsborough,110208,"67 Symphony Rd. - Spot #2, 4 or 6 Only",,125,
Gainsborough,64303,76 Gainsborough St. - Spot #43,,125,
Gainsborough,67207,76 Gainsborough St. - Spot #47,,125,
Gainsborough,24505,76 Gainsborough St. - Spot #48,,125,
Gainsborough,112021,76 Gainsborough St. - Spot #49 Only,,125,
Gainsborough,43119,76 Gainsborough St. - Spot #53,,125,
Gainsborough,111394,76 Gainsborough St. - Spot #54 Only,,125,
