ID,SPOT
150053,10 Museum Rd. - Huntington Parking Lot
19947,105 Peterborough St. (Private Alley 932)- Compact Spots #1 or #2 Only
27903,"1089 Boylston St. - Spot #14, #15, or #16 Only"
19944,Compact Car Only: 109 Peterborough St. (Private Alley 932) - Spots #10 or #11
98559,111 Saint Botolph St. - Left Spot Only
88199,"12 Bay State Rd. - Spots #1, 2, 3, 4, 5, 6, 7, 8 or #9 Only"
57240,12 Stoneholm St. - Spot #13 or 14
164711,12 Stoneholm St. - Garage
164678,"12 Stoneholm St. - Spots #29, #34, or #36 ONLY"
164712,"12 Stoneholm St. - Spots #4, #6, #8, #10, #12, #19, or #21 ONLY"
107105,12 Stoneholm St. - Spot #26 Only
24636,124 St Mary’s St. - Spot #5 or 6
134427,134 St. Mary's St. - Spot A Only
110205,"13 Haviland St. (Public Alley 909) - Spot #1, 2, 3 Only"
122054,133 Peterborough St. - Compact Spot #19 Only
109965,133 Peterborough St. - Spots #21 or 22 Only
87263,14 Keswick St. - Spot #3 only
44603,14 Symphony Rd. - Left Spot Only
85596,15 Keswick St. - Spot #1 or 2 Only
24507,15 Aberdeen St. - Spot #9
122118,15-17 Aberdeen St. (Cameron Dr.) - Spot #8 Only
24448,15-17 Aberdeen St. - Spots #3 or 6 ONLY
83112,16 Westland Ave. - Spot #1 or #2 Only
74103,17 Symphony Rd. - Spot #2 Only
69648,175 Saint Botolph St. - Left Spot Only
125683,175 St. Botolph St. - Right Spot Only
62388,179 St Botolph St. - Right Whole Tandem Row Only
26789,183 Saint Botolph St. - Spot #1 or 2
58296,184 Beacon St. - Alley Spot
95988,19 Cumberland St. - Right or Left Whole Tandem Spots Only
55394,2 Claremont St - Right Spot
150051,20 Museum Rd. - Fenway Parking Lot
120435,20 Wellington St. - Right Spot Only
24506,"23 Symphony Rd. - Spots #1, #2, or #3 Only"
125684,227 Marlborough St. - Right Spot Only
43088,250 Newbury St. - Whole Tandem Row - Spot #1 or #2
115122,"26 Public Alley 810 (26 Symphony Rd.) - Spots #1, #2 or #3 Only"
29191,"27 Back St. - Spots #1, #2, or #3 Only"
29821,27 Bay State Rd - Whole Tandem Row - Lot
44635,28 Public Alley 810 (28 Symphony Rd.) - Spot #3 Only
90112,28 Public Alley 810 (28 Symphony Rd.) - Middle Spot Only
78294,296 Marlborough St. - LEFT Spot Only
55396,3 Claremont St - Left Fence Spot
102846,30 Peterborough St. - Spot #10
108788,31-33 Massachusetts Ave. - Whole Tandem Row
85094,32 Edgerly Rd.- Angle Spot
34305,320 Commonwealth Ave. - Whole Tandem Row
88064,324 Newbury St. - Alley Spot
144616,337 Commonwealth Ave. - Middle Whole Tandem Row Only
133008,350 Beacon St. - Spot A Only
90079,387 Marlborough St. - Spot #8 only
127899,396 Beacon St. - Spot A or E Only
132977,39 Back St. (39 Bay State Rd.) - Spot P5 Only
26487,39 Back St. - Spots P6 or P7 Only
28074,41- 43 Bay State Rd. - Alley Spots
115584,45-47 Symphony Rd. (60 Public Alley 818) - Spot #9 Only
102715,428 Marlborough St. - Right Spot Only
27874,"447 Park Drive - Spot #1, 2, 3 or 4 ONLY"
26880,448 Park Drive - Spot #3
23052,451 Park Dr. - Spot #3 or 6 ONLY
28761,461 Park Drive - Parallel Spot
28035,463 Park Drive - Compact Spot #1
27870,463 Park Drive - Parallel Spot #2
134988,475 Beacon St. - Left Spot Only
85332,477 Beacon St. - Left or Right Spot Only
135351,49 St. Mary's St. (5 Euston St.) - Left and Right Spot Only
30712,509 Beacon St. - Left and Right Whole Tandem Row
38331,"535 Newbury St. - Spot #1 , 2 or 3 only"
110008,50 St. Stephen St. - Right Covered Spot Only
49125,56 Queensberry - Personal Spots #1-4
26225,56 St Stephen St. - Compact Only Spots
136870,"58 Queensberry St. - Spots #8, 9, 10, 11, 12 or #13 Only"
24640,61 Park Dr. - Spot G
82320,"62 Queensberry St. - Spots #1, 2, 3, 4, 5, or 6 Only"
69385,66 Queensberry St. - Spot #1 or #2
110208,"67 Symphony Rd. - Spot #2, 4 , 5 or 6 Only"
134296,70-72 Bay State Rd. (Public Alley 902) - Spot #1 or #2 Only
168937,76 Gainsborough St. - Spot #2 Only
64303,76 Gainsborough St. - Spot #43
67207,76 Gainsborough St. - Spot #47
24505,76 Gainsborough St. - Spot #48
112021,76 Gainsborough St. - Spot #49 Only
111394,76 Gainsborough St. - Spot #54 Only
20417,76 Gainsborough St. - Spot #57
109778,76 Gainsborough St. - Spot #62 Only
89243,76 Gainsborough St. - Spot #8 ONLY
24737,76 Gainsborough St. - Spot #85
43119,76 Gainsborough St. - Spot 53
109779,76 Gainsborough St. - Spots #28 #29 #30 or #31 Only
19942,"76 Gainsborough St. - Spots #32, 33, 34, or 35"
125682,"76 Gainsborough St. - Spots #63, #64 or #65 Only"
20181,"76 Gainsborough St. - Spots #9, 10, 11 or #12 Only"
24413,"76-78 St. Stephen St. - Whole Tandem Rows - Spot #1, #2, #3 ,#4 or #5"
46285,76-78 St. Stephen St. - Whole Tandem Row - Spot #5 (ARCHIVED)
29062,80 Fenway - Angle Parking
131623,81 St Botolph St. - Right Spot Only
98888,83 St Botolph St. (83 Public Alley 402) - Left Spot Only
49089,"84 Fenway - Spots #1, #2, #3 or #4 Only"
81792,84 Fenway - Spot #5 only
87276,85 St Botolph St. - Left Whole Tandem Spot
85658,86 Saint Stephen St. - Left Whole Tandem Spot
24445,869 Beacon St.- Spot #1 or 2 Only
89449,877 Beacon St. - Spot #2 Only
75489,912 Beacon St. - Spot #2 or #3 Only
128322,914 Beacon St. - Spot #3 or #4 Only
20984,922 Beacon St. - Spot #1 Only
98367,923 Beacon St (124 St Mary's St.) - Garage
163430,46 Valentine St. - Left Spot Only
155522,16-18 Valentine St. - Driveway Spot
69384,90 Hamilton St. - Lot
130104,1 Terrace St. (1430 Tremont St.) - Spot #11 or #14 Only
139737,10-12 Greenway Ct. - Parallel Spot #26 Only
85392,102 Sewall Ave. - Spot #27 Only
26224,1028 Commonwealth Ave. - Lot
97668,"11 Stearns Rd. - Spots #9, 10 or 11 Only"
165016,12 Parkman St. - Spot #1 or #4 Only
147999,12 Greenway Ct. - Spot #18 Only
55755,110 Babcock St. - Spot #2 or #3 Only
100272,112 Longwood Ave. - Spot #16 outdoor or Garage #5 Only
123176,112-116 Longwood Ave. - Garage Spot #6 Only
86024,"119 Browne St. - Spot #1, #4 or #5 Only"
105758,"121 Browne St. - Spots #2, #3, #4 or #5 Only"
67272,1318 Beacon St. - Lot
24452,14 Wigglesworth St. - Spot #1 Only
34272,1467 Tremont St.- Spot #11 or #12 Only
85950,"1550 Tremont St. - Spot #2, 3 or 4 Only"
24441,"1568 Tremont St. - Spots #1, 2, or 3 Only"
89056,16 Dartmouth Pl. - Left Spot Only
51895,"169 Kent St. - Spots #32, #33 or #36 Only"
122615,179 Kent St. - Spot #46 Only
26257,"180 Saint Paul St. - Spot #1, 3 or 5 ONLY"
26258,180 Saint Paul St. - Parallel Spot #6 Only
61068,191 Kent St. - Spot #1
51696,191 Kent St. - Spots #64 or #65
45924,197 Kent St. - Spot #30 or #39 Only
88202,2 Worthington St. - Left Spot Only
140749,2 Worthington St. - Right Spot Only
45925,205 Kent St - Spot #64
154916,217 Kent St. - Spot #25 Only
24407,"218 Freeman St. - Spots #5, #6, #7, #8 or #9 Only"
141587,"22 Winslow Rd. - Spots #2, #3 or #4 Only"
46284,222 Winslow Rd. - Lot
107039,234 W Canton St. - Right Spot Only
85692,274 Parker Hill Ave. - Garage Spot #2 or #3 Only
21868,277 Northampton St. - Spot #3 or 4 Only
72816,277 Northampton St. - Spot #44 - 52
96015,319 St. Paul St. - Spot #3 or #4 Only
55458,4 Wigglesworth St. - Spot #1 Only
108986,41 Brook St. - Whole Tandem Row
26253,41 Winslow Rd. - Spot #6 Only
51697,413 Massachusetts Ave. - Left or Right Whole Tandem Row
101956,"44 Winslow Rd. - Spots #5, 6, 7 or 8 Only"
96250,460 Massachusetts Ave. - Spot #1 Only
45063,461-471 Massachusetts Ave. - Alley Spots
87911,475 Massachusetts Ave - Alley Spot
146157,418 Massachusetts Ave. - Spot #2 Only
21405,480 Massachusetts Ave. - Spot #1 or #2 Only
154919,777 Tremont St. - Spot #2 Only
26584,486 Massachusetts Ave. - Spot #1
136299,50 Green St. - Spot #18 Only
129776,54-76 Egmont St. (61 Thatcher St.) - Garage Spot #12 Only
86352,588 Columbus Ave.- Left Spot Only
129775,61 Thatcher St. - Spot #9 Only
21173,677 Tremont St. - Right Spot Only
117201,"69 Marshal St. - Spot #1, 2, or 3 Only"
93252,700 Parker St. - Spot #3 Only
74730,"73 Thatcher St. - Garage Spot #1, #3, or #4 Only"
74467,73 Thatcher St. - Parallel Spot #2
74697,73 Thatcher St. - Parallel Spot #3 or #4 Only
104762,73 Thatcher St. - Spot #1 Only
136408,74 St Paul St. - Whole Tandem Row - Spot #41 or #42 Only
86028,76 Egmont St. - Spot #1 or #2 Only
20149,"79 Thatcher St. (90 Thatcher St.) - Spots #1, 2, 3, or 4 Only"
144614,18 Holyoke St. - Spot #2 Only
118325,"83 Longwood Ave. - Parallel Spots #1, 2, or 3 Only"
94101,"835 Columbus Ave. - Green Reserved 1, 2 or 3"
135356,"86 St. Paul St. - Spot #39, #40, #41 or #42 Only"
34702,9 Francis St - Full Size SUV
24447,9 Francis St. - Parallel Spots 2 or 3
