Username,Quantity,Status,Event Name,Event Date,Venue,City,State,Section,Row,Seats,Seat Type,Stock Type,Split Type,Internal Notes,Public Notes,Face,Total Cost,List,Inhand Date,Broadcast
steven-lawrence-3,10,,Ella Langley Parking,2026-09-12 7:01pm,Charleston Coliseum and Convention Center Parking,Charleston,WV,500 LEE ST. E.- 0.5 MILES,GA5,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.5 MILES FROM VENUE",0,10.7,11,2026-09-11T19:01:00.000Z,Y
steven-lawrence-3,12,ACTIVE,James Taylor and His All-Star Band Parking,2026-09-15 7:31pm,Live Oak Bank Pavilion Parking,Wilmington,NC,321 N. FRONT ST- 0.6MILES,GA2,12-Jan,general_admission,pdf,any,,"Parking Pass Only
0.6miles from venue
Handicap Accessible",0,520.08,57,2026-09-14T19:31:00.000Z,Y
steven-lawrence-3,4,ACTIVE,Malcolm Todd Parking,ACTIVE2026-09-16 8:01pm,Red Hat Amphitheater Parking,Raleigh,NC,215 S. MCDOWELL ST.- 0.4 MILES,GA9,4-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.4 MILES FROM VENUE",0,21.4,15,2026-09-15T20:01:00.000Z,Y
steven-lawrence-3,4,ACTIVE,Louder Than Life Music Festival (Thursday and Sunday) Parking,2026-09-17 12:30pm,Highland Festival Grounds at Kentucky Exposition Center Parking,Louisville,KY,THE SPARK BY HILTON LOUISVILLE PARKING.- 0.4 MILES,GA5,4-Jan,general_admission,pdf,any,,"THURSDAY AND SUNDAY ONLY
PARKING PASS ONLY
0.4 MILES FROM VENUE",0,65.2,34,2026-09-16T12:30:00.000Z,Y
steven-lawrence-3,4,ACTIVE,Brooks and Dunn Parking,2026-09-18 7:01pm,Charleston Coliseum and Convention Center Parking,Charleston,WV,810 WASHINGTON ST. LOT- 08 MILES,GA2,4-Jan,general_admission,pdf,any,,"Parking Pass Only
0.8 miles from venue",0,8.48,15,2026-09-17T19:01:00.000Z,Y
steven-lawrence-3,2,ACTIVE,Gorillaz Parking,2026-09-18 7:31pm,Kaseya Center Parking,Miami,FL,127 NE 11TH ST- 0.7 MILES,GA9,2-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.7 MILES FROM VENUE",0,50,44,2026-09-17T19:31:00.000Z,Y
steven-lawrence-3,10,READY,Atsuko Okatsuka Parking,2026-09-19 7:01pm,Chicago Theatre Parking,Chicago,IL,80 N. FRANKLIN ST.-0.5 MILES,GA4,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.5 MILES FROM VENUE",0,117.7,25,2026-09-18T19:01:00.000Z,N
steven-lawrence-3,10,ACTIVE,Atsuko Okatsuka Parking,2026-09-19 7:01pm,Chicago Theatre Parking,Chicago,IL,180 N. FRANKLIN ST.-0.5 MI AWAY,GA9,10-Jan,general_admission,pdf,any,,"parking pass only
0.5 miles from venue",0,117.7,28,2026-09-18T19:01:00.000Z,Y
steven-lawrence-3,4,ACTIVE,Tame Impala Parking,2026-09-19 7:01pm,Toyota Center - TX Parking,Houston,TX,ATHENS HOTEL & SUITES - 1308 CLAY ST GARAGE (0.1 MILES AWAY),GA4,4-Jan,general_admission,pdf,any,,"0.1 miles from venue
Parking pass only",0,80,38,2026-09-18T19:01:00.000Z,Y
steven-lawrence-3,9,ACTIVE,Theresa Caputo Parking,2026-09-20 7:01pm,Holland Performing Arts Center Parking,Omaha,NE,1909 DAVENPORT ST LOT- 0.7 MILES,GA3,9-Jan,general_admission,pdf,any,,"Parking Passes Only
0.7 miles from venue",0,117.81,25,2026-09-19T19:01:00.000Z,Y
